,emotion,file_path,gender,statement
0,angry,./data/engie/Actor_16/03-01-05-01-02-01-16.png,F,Dogs are sitting by the door
1,happy,./data/engie/Actor_16/03-02-03-02-02-02-16.png,F,Dogs are sitting by the door
2,fearful,./data/engie/Actor_16/03-01-06-01-02-02-16.png,F,Dogs are sitting by the door
3,fearful,./data/engie/Actor_16/03-01-06-02-01-02-16.png,F,Kids are talking by the door
4,happy,./data/engie/Actor_16/03-02-03-01-01-02-16.png,F,Kids are talking by the door
5,angry,./data/engie/Actor_16/03-01-05-02-01-01-16.png,F,Kids are talking by the door
6,disgust,./data/engie/Actor_16/03-01-07-01-01-01-16.png,F,Kids are talking by the door
7,calm,./data/engie/Actor_16/03-02-02-02-01-01-16.png,F,Kids are talking by the door
8,sad,./data/engie/Actor_16/03-01-04-01-01-02-16.png,F,Kids are talking by the door
9,sad,./data/engie/Actor_16/03-01-04-02-02-02-16.png,F,Dogs are sitting by the door
10,calm,./data/engie/Actor_16/03-02-02-01-02-01-16.png,F,Dogs are sitting by the door
11,neutral,./data/engie/Actor_16/03-02-01-01-02-02-16.png,F,Dogs are sitting by the door
12,disgust,./data/engie/Actor_16/03-01-07-02-02-01-16.png,F,Dogs are sitting by the door
13,surprised,./data/engie/Actor_16/03-01-08-02-02-01-16.png,F,Dogs are sitting by the door
14,surprised,./data/engie/Actor_16/03-01-08-01-01-01-16.png,F,Kids are talking by the door
15,fearful,./data/engie/Actor_16/03-02-06-01-02-02-16.png,F,Dogs are sitting by the door
16,angry,./data/engie/Actor_16/03-02-05-01-02-01-16.png,F,Dogs are sitting by the door
17,happy,./data/engie/Actor_16/03-01-03-02-02-02-16.png,F,Dogs are sitting by the door
18,happy,./data/engie/Actor_16/03-01-03-01-01-02-16.png,F,Kids are talking by the door
19,angry,./data/engie/Actor_16/03-02-05-02-01-01-16.png,F,Kids are talking by the door
20,fearful,./data/engie/Actor_16/03-02-06-02-01-02-16.png,F,Kids are talking by the door
21,calm,./data/engie/Actor_16/03-01-02-02-01-01-16.png,F,Kids are talking by the door
22,sad,./data/engie/Actor_16/03-02-04-01-01-02-16.png,F,Kids are talking by the door
23,neutral,./data/engie/Actor_16/03-01-01-01-02-02-16.png,F,Dogs are sitting by the door
24,sad,./data/engie/Actor_16/03-02-04-02-02-02-16.png,F,Dogs are sitting by the door
25,calm,./data/engie/Actor_16/03-01-02-01-02-01-16.png,F,Dogs are sitting by the door
26,happy,./data/engie/Actor_16/03-01-03-02-01-01-16.png,F,Kids are talking by the door
27,angry,./data/engie/Actor_16/03-02-05-01-01-02-16.png,F,Kids are talking by the door
28,fearful,./data/engie/Actor_16/03-02-06-01-01-01-16.png,F,Kids are talking by the door
29,fearful,./data/engie/Actor_16/03-02-06-02-02-01-16.png,F,Dogs are sitting by the door
30,angry,./data/engie/Actor_16/03-02-05-02-02-02-16.png,F,Dogs are sitting by the door
31,happy,./data/engie/Actor_16/03-01-03-01-02-01-16.png,F,Dogs are sitting by the door
32,sad,./data/engie/Actor_16/03-02-04-01-02-01-16.png,F,Dogs are sitting by the door
33,calm,./data/engie/Actor_16/03-01-02-02-02-02-16.png,F,Dogs are sitting by the door
34,calm,./data/engie/Actor_16/03-01-02-01-01-02-16.png,F,Kids are talking by the door
35,sad,./data/engie/Actor_16/03-02-04-02-01-01-16.png,F,Kids are talking by the door
36,neutral,./data/engie/Actor_16/03-01-01-01-01-01-16.png,F,Kids are talking by the door
37,fearful,./data/engie/Actor_16/03-01-06-01-01-01-16.png,F,Kids are talking by the door
38,happy,./data/engie/Actor_16/03-02-03-02-01-01-16.png,F,Kids are talking by the door
39,angry,./data/engie/Actor_16/03-01-05-01-01-02-16.png,F,Kids are talking by the door
40,angry,./data/engie/Actor_16/03-01-05-02-02-02-16.png,F,Dogs are sitting by the door
