,category,emotion,file_path,gender,intensity,statement
0,bad,angry,./data/Actor_16/03-01-05-01-02-01-16.png,F,normal,Dogs are sitting by the door
1,bad,fearful,./data/Actor_16/03-01-06-01-02-02-16.png,F,normal,Dogs are sitting by the door
2,bad,fearful,./data/Actor_16/03-01-06-02-01-02-16.png,F,strong,Kids are talking by the door
3,bad,angry,./data/Actor_16/03-01-05-02-01-01-16.png,F,strong,Kids are talking by the door
4,bad,disgust,./data/Actor_16/03-01-07-01-01-01-16.png,F,normal,Kids are talking by the door
5,bad,sad,./data/Actor_16/03-01-04-01-01-02-16.png,F,normal,Kids are talking by the door
6,bad,sad,./data/Actor_16/03-01-04-02-02-02-16.png,F,strong,Dogs are sitting by the door
7,bad,disgust,./data/Actor_16/03-01-07-02-02-01-16.png,F,strong,Dogs are sitting by the door
8,bad,surprised,./data/Actor_16/03-01-08-02-02-01-16.png,F,strong,Dogs are sitting by the door
9,bad,surprised,./data/Actor_16/03-01-08-01-01-01-16.png,F,normal,Kids are talking by the door
10,good,happy,./data/Actor_16/03-01-03-02-02-02-16.png,F,strong,Dogs are sitting by the door
11,good,happy,./data/Actor_16/03-01-03-01-01-02-16.png,F,normal,Kids are talking by the door
12,good,calm,./data/Actor_16/03-01-02-02-01-01-16.png,F,strong,Kids are talking by the door
13,good,neutral,./data/Actor_16/03-01-01-01-02-02-16.png,F,normal,Dogs are sitting by the door
14,good,calm,./data/Actor_16/03-01-02-01-02-01-16.png,F,normal,Dogs are sitting by the door
15,good,happy,./data/Actor_16/03-01-03-02-01-01-16.png,F,strong,Kids are talking by the door
16,good,happy,./data/Actor_16/03-01-03-01-02-01-16.png,F,normal,Dogs are sitting by the door
17,good,calm,./data/Actor_16/03-01-02-02-02-02-16.png,F,strong,Dogs are sitting by the door
18,good,calm,./data/Actor_16/03-01-02-01-01-02-16.png,F,normal,Kids are talking by the door
19,good,neutral,./data/Actor_16/03-01-01-01-01-01-16.png,F,normal,Kids are talking by the door
20,bad,fearful,./data/Actor_16/03-01-06-01-01-01-16.png,F,normal,Kids are talking by the door
21,bad,angry,./data/Actor_16/03-01-05-01-01-02-16.png,F,normal,Kids are talking by the door
22,bad,angry,./data/Actor_16/03-01-05-02-02-02-16.png,F,strong,Dogs are sitting by the door
23,bad,fearful,./data/Actor_16/03-01-06-02-02-01-16.png,F,strong,Dogs are sitting by the door
24,bad,sad,./data/Actor_16/03-01-04-01-02-01-16.png,F,normal,Dogs are sitting by the door
25,bad,disgust,./data/Actor_16/03-01-07-01-02-02-16.png,F,normal,Dogs are sitting by the door
26,bad,disgust,./data/Actor_16/03-01-07-02-01-02-16.png,F,strong,Kids are talking by the door
27,bad,sad,./data/Actor_16/03-01-04-02-01-01-16.png,F,strong,Kids are talking by the door
28,bad,surprised,./data/Actor_16/03-01-08-02-01-02-16.png,F,strong,Kids are talking by the door
29,bad,surprised,./data/Actor_16/03-01-08-01-02-02-16.png,F,normal,Dogs are sitting by the door
30,good,calm,./data/Actor_16/03-01-02-01-02-02-16.png,F,normal,Dogs are sitting by the door
31,good,neutral,./data/Actor_16/03-01-01-01-02-01-16.png,F,normal,Dogs are sitting by the door
32,good,calm,./data/Actor_16/03-01-02-02-01-02-16.png,F,strong,Kids are talking by the door
33,good,happy,./data/Actor_16/03-01-03-01-01-01-16.png,F,normal,Kids are talking by the door
34,good,happy,./data/Actor_16/03-01-03-02-02-01-16.png,F,strong,Dogs are sitting by the door
35,bad,disgust,./data/Actor_16/03-01-07-02-02-02-16.png,F,strong,Dogs are sitting by the door
36,bad,sad,./data/Actor_16/03-01-04-02-02-01-16.png,F,strong,Dogs are sitting by the door
37,bad,sad,./data/Actor_16/03-01-04-01-01-01-16.png,F,normal,Kids are talking by the door
38,bad,disgust,./data/Actor_16/03-01-07-01-01-02-16.png,F,normal,Kids are talking by the door
39,bad,angry,./data/Actor_16/03-01-05-02-01-02-16.png,F,strong,Kids are talking by the door
40,bad,fearful,./data/Actor_16/03-01-06-02-01-01-16.png,F,strong,Kids are talking by the door
41,bad,fearful,./data/Actor_16/03-01-06-01-02-01-16.png,F,normal,Dogs are sitting by the door
42,bad,angry,./data/Actor_16/03-01-05-01-02-02-16.png,F,normal,Dogs are sitting by the door
43,bad,surprised,./data/Actor_16/03-01-08-01-01-02-16.png,F,normal,Kids are talking by the door
44,bad,surprised,./data/Actor_16/03-01-08-02-02-02-16.png,F,strong,Dogs are sitting by the door
45,bad,sad,./data/Actor_16/03-01-04-02-01-02-16.png,F,strong,Kids are talking by the door
46,bad,disgust,./data/Actor_16/03-01-07-02-01-01-16.png,F,strong,Kids are talking by the door
47,bad,disgust,./data/Actor_16/03-01-07-01-02-01-16.png,F,normal,Dogs are sitting by the door
48,bad,sad,./data/Actor_16/03-01-04-01-02-02-16.png,F,normal,Dogs are sitting by the door
49,bad,fearful,./data/Actor_16/03-01-06-02-02-02-16.png,F,strong,Dogs are sitting by the door
50,bad,angry,./data/Actor_16/03-01-05-02-02-01-16.png,F,strong,Dogs are sitting by the door
51,bad,angry,./data/Actor_16/03-01-05-01-01-01-16.png,F,normal,Kids are talking by the door
52,bad,fearful,./data/Actor_16/03-01-06-01-01-02-16.png,F,normal,Kids are talking by the door
53,bad,surprised,./data/Actor_16/03-01-08-01-02-01-16.png,F,normal,Dogs are sitting by the door
54,bad,surprised,./data/Actor_16/03-01-08-02-01-01-16.png,F,strong,Kids are talking by the door
55,good,neutral,./data/Actor_16/03-01-01-01-01-02-16.png,F,normal,Kids are talking by the door
56,good,calm,./data/Actor_16/03-01-02-01-01-01-16.png,F,normal,Kids are talking by the door
57,good,calm,./data/Actor_16/03-01-02-02-02-01-16.png,F,strong,Dogs are sitting by the door
58,good,happy,./data/Actor_16/03-01-03-01-02-02-16.png,F,normal,Dogs are sitting by the door
59,good,happy,./data/Actor_16/03-01-03-02-01-02-16.png,F,strong,Kids are talking by the door
60,good,neutral,./data/Actor_11/03-01-01-01-02-02-11.png,M,normal,Dogs are sitting by the door
61,good,calm,./data/Actor_11/03-01-02-01-02-01-11.png,M,normal,Dogs are sitting by the door
62,good,calm,./data/Actor_11/03-01-02-02-01-01-11.png,M,strong,Kids are talking by the door
63,good,happy,./data/Actor_11/03-01-03-01-01-02-11.png,M,normal,Kids are talking by the door
64,good,happy,./data/Actor_11/03-01-03-02-02-02-11.png,M,strong,Dogs are sitting by the door
65,bad,sad,./data/Actor_11/03-01-04-02-02-02-11.png,M,strong,Dogs are sitting by the door
66,bad,disgust,./data/Actor_11/03-01-07-02-02-01-11.png,M,strong,Dogs are sitting by the door
67,bad,disgust,./data/Actor_11/03-01-07-01-01-01-11.png,M,normal,Kids are talking by the door
68,bad,sad,./data/Actor_11/03-01-04-01-01-02-11.png,M,normal,Kids are talking by the door
69,bad,fearful,./data/Actor_11/03-01-06-02-01-02-11.png,M,strong,Kids are talking by the door
70,bad,angry,./data/Actor_11/03-01-05-02-01-01-11.png,M,strong,Kids are talking by the door
71,bad,angry,./data/Actor_11/03-01-05-01-02-01-11.png,M,normal,Dogs are sitting by the door
72,bad,fearful,./data/Actor_11/03-01-06-01-02-02-11.png,M,normal,Dogs are sitting by the door
73,bad,surprised,./data/Actor_11/03-01-08-01-01-01-11.png,M,normal,Kids are talking by the door
74,bad,surprised,./data/Actor_11/03-01-08-02-02-01-11.png,M,strong,Dogs are sitting by the door
75,bad,disgust,./data/Actor_11/03-01-07-02-01-02-11.png,M,strong,Kids are talking by the door
76,bad,sad,./data/Actor_11/03-01-04-02-01-01-11.png,M,strong,Kids are talking by the door
77,bad,sad,./data/Actor_11/03-01-04-01-02-01-11.png,M,normal,Dogs are sitting by the door
78,bad,disgust,./data/Actor_11/03-01-07-01-02-02-11.png,M,normal,Dogs are sitting by the door
79,bad,angry,./data/Actor_11/03-01-05-02-02-02-11.png,M,strong,Dogs are sitting by the door
80,bad,fearful,./data/Actor_11/03-01-06-02-02-01-11.png,M,strong,Dogs are sitting by the door
81,bad,fearful,./data/Actor_11/03-01-06-01-01-01-11.png,M,normal,Kids are talking by the door
82,bad,angry,./data/Actor_11/03-01-05-01-01-02-11.png,M,normal,Kids are talking by the door
83,bad,surprised,./data/Actor_11/03-01-08-01-02-02-11.png,M,normal,Dogs are sitting by the door
84,bad,surprised,./data/Actor_11/03-01-08-02-01-02-11.png,M,strong,Kids are talking by the door
85,good,calm,./data/Actor_11/03-01-02-01-01-02-11.png,M,normal,Kids are talking by the door
86,good,neutral,./data/Actor_11/03-01-01-01-01-01-11.png,M,normal,Kids are talking by the door
87,good,calm,./data/Actor_11/03-01-02-02-02-02-11.png,M,strong,Dogs are sitting by the door
88,good,happy,./data/Actor_11/03-01-03-01-02-01-11.png,M,normal,Dogs are sitting by the door
89,good,happy,./data/Actor_11/03-01-03-02-01-01-11.png,M,strong,Kids are talking by the door
90,bad,fearful,./data/Actor_11/03-01-06-01-02-01-11.png,M,normal,Dogs are sitting by the door
91,bad,angry,./data/Actor_11/03-01-05-01-02-02-11.png,M,normal,Dogs are sitting by the door
92,bad,angry,./data/Actor_11/03-01-05-02-01-02-11.png,M,strong,Kids are talking by the door
93,bad,fearful,./data/Actor_11/03-01-06-02-01-01-11.png,M,strong,Kids are talking by the door
94,bad,sad,./data/Actor_11/03-01-04-01-01-01-11.png,M,normal,Kids are talking by the door
95,bad,disgust,./data/Actor_11/03-01-07-01-01-02-11.png,M,normal,Kids are talking by the door
96,bad,disgust,./data/Actor_11/03-01-07-02-02-02-11.png,M,strong,Dogs are sitting by the door
97,bad,sad,./data/Actor_11/03-01-04-02-02-01-11.png,M,strong,Dogs are sitting by the door
98,bad,surprised,./data/Actor_11/03-01-08-02-02-02-11.png,M,strong,Dogs are sitting by the door
99,bad,surprised,./data/Actor_11/03-01-08-01-01-02-11.png,M,normal,Kids are talking by the door
100,good,happy,./data/Actor_11/03-01-03-02-02-01-11.png,M,strong,Dogs are sitting by the door
101,good,happy,./data/Actor_11/03-01-03-01-01-01-11.png,M,normal,Kids are talking by the door
102,good,calm,./data/Actor_11/03-01-02-02-01-02-11.png,M,strong,Kids are talking by the door
103,good,calm,./data/Actor_11/03-01-02-01-02-02-11.png,M,normal,Dogs are sitting by the door
104,good,neutral,./data/Actor_11/03-01-01-01-02-01-11.png,M,normal,Dogs are sitting by the door
105,good,happy,./data/Actor_11/03-01-03-02-01-02-11.png,M,strong,Kids are talking by the door
106,good,happy,./data/Actor_11/03-01-03-01-02-02-11.png,M,normal,Dogs are sitting by the door
107,good,calm,./data/Actor_11/03-01-02-02-02-01-11.png,M,strong,Dogs are sitting by the door
108,good,neutral,./data/Actor_11/03-01-01-01-01-02-11.png,M,normal,Kids are talking by the door
109,good,calm,./data/Actor_11/03-01-02-01-01-01-11.png,M,normal,Kids are talking by the door
110,bad,angry,./data/Actor_11/03-01-05-01-01-01-11.png,M,normal,Kids are talking by the door
111,bad,fearful,./data/Actor_11/03-01-06-01-01-02-11.png,M,normal,Kids are talking by the door
112,bad,fearful,./data/Actor_11/03-01-06-02-02-02-11.png,M,strong,Dogs are sitting by the door
113,bad,angry,./data/Actor_11/03-01-05-02-02-01-11.png,M,strong,Dogs are sitting by the door
114,bad,disgust,./data/Actor_11/03-01-07-01-02-01-11.png,M,normal,Dogs are sitting by the door
115,bad,sad,./data/Actor_11/03-01-04-01-02-02-11.png,M,normal,Dogs are sitting by the door
116,bad,sad,./data/Actor_11/03-01-04-02-01-02-11.png,M,strong,Kids are talking by the door
117,bad,disgust,./data/Actor_11/03-01-07-02-01-01-11.png,M,strong,Kids are talking by the door
118,bad,surprised,./data/Actor_11/03-01-08-02-01-01-11.png,M,strong,Kids are talking by the door
119,bad,surprised,./data/Actor_11/03-01-08-01-02-01-11.png,M,normal,Dogs are sitting by the door
120,good,happy,./data/Actor_18/03-01-03-02-01-02-18.png,F,strong,Kids are talking by the door
121,good,happy,./data/Actor_18/03-01-03-01-02-02-18.png,F,normal,Dogs are sitting by the door
122,good,calm,./data/Actor_18/03-01-02-02-02-01-18.png,F,strong,Dogs are sitting by the door
123,good,calm,./data/Actor_18/03-01-02-01-01-01-18.png,F,normal,Kids are talking by the door
124,good,neutral,./data/Actor_18/03-01-01-01-01-02-18.png,F,normal,Kids are talking by the door
125,bad,fearful,./data/Actor_18/03-01-06-01-01-02-18.png,F,normal,Kids are talking by the door
126,bad,angry,./data/Actor_18/03-01-05-01-01-01-18.png,F,normal,Kids are talking by the door
127,bad,angry,./data/Actor_18/03-01-05-02-02-01-18.png,F,strong,Dogs are sitting by the door
